,Category,Year,Month,YearMonth,MonthNo,Total
0,الأولـــى,2019,January,2019-January,01,2
1,الدولية,2019,January,2019-January,01,1
2,المحليات,2019,January,2019-January,01,4
3,الأخــيــرة,2019,February,2019-February,02,1
4,المحليات,2019,February,2019-February,02,21
5,أخبار المناطق,2019,March,2019-March,03,1
6,المحليات,2019,March,2019-March,03,3
7,الأولـــى,2019,April,2019-April,04,1
8,الدولية,2019,April,2019-April,04,7
9,الرأي,2019,April,2019-April,04,1
10,المحليات,2019,April,2019-April,04,3
11,المحليات,2019,May,2019-May,05,2
12,دنيا الرياضة,2019,May,2019-May,05,1
13,المحليات,2019,June,2019-June,06,1
14,الدولية,2019,July,2019-July,07,2
15,المحليات,2019,July,2019-July,07,3
16,دنيا الرياضة,2019,July,2019-July,07,1
17,الأخــيــرة,2019,August,2019-August,08,1
18,الدولية,2019,August,2019-August,08,6
19,المحليات,2019,August,2019-August,08,3
20,دنيا الرياضة,2019,August,2019-August,08,1
21,الأخــيــرة,2019,September,2019-September,09,1
22,الدولية,2019,September,2019-September,09,5
23,دنيا الرياضة,2019,September,2019-September,09,1
24,مقالات اليوم,2019,September,2019-September,09,1
25,الدولية,2019,October,2019-October,10,13
26,المحليات,2019,October,2019-October,10,7
27,دنيا الرياضة,2019,October,2019-October,10,3
28,مقالات اليوم,2019,October,2019-October,10,1
29,الدولية,2019,November,2019-November,11,1
30,الرأي,2019,November,2019-November,11,1
31,متابعات,2019,November,2019-November,11,1
32,الاقتصاد,2019,December,2019-December,12,1
33,الدولية,2019,December,2019-December,12,3
34,المحليات,2019,December,2019-December,12,2
35,دنيا الرياضة,2019,December,2019-December,12,1
36,الأخبار المصورة,2020,January,2020-January,01,5
37,الأخــيــرة,2020,January,2020-January,01,7
38,الأولـــى,2020,January,2020-January,01,2
39,الاقتصاد,2020,January,2020-January,01,9
40,الدولية,2020,January,2020-January,01,85
41,الرأي,2020,January,2020-January,01,1
42,المحليات,2020,January,2020-January,01,21
43,المنوعات,2020,January,2020-January,01,2
44,دنيا الرياضة,2020,January,2020-January,01,4
45,متابعات,2020,January,2020-January,01,3
46,مقالات اليوم,2020,January,2020-January,01,1
47,أخبار المناطق,2020,February,2020-February,02,4
48,الأخبار المصورة,2020,February,2020-February,02,5
49,الأخــيــرة,2020,February,2020-February,02,20
50,الأولـــى,2020,February,2020-February,02,7
51,الاقتصاد,2020,February,2020-February,02,76
52,الدولية,2020,February,2020-February,02,262
53,الرأي,2020,February,2020-February,02,4
54,المحليات,2020,February,2020-February,02,113
55,المنوعات,2020,February,2020-February,02,7
56,دنيا الرياضة,2020,February,2020-February,02,45
57,طــب,2020,February,2020-February,02,1
58,كلمة الرياض,2020,February,2020-February,02,1
59,متابعات,2020,February,2020-February,02,2
60,مقالات اليوم,2020,February,2020-February,02,19
61,أخبار المناطق,2020,March,2020-March,03,85
62,الأخبار المصورة,2020,March,2020-March,03,6
63,الأخبار الهامة,2020,March,2020-March,03,1
64,الأخــيــرة,2020,March,2020-March,03,106
65,الأولـــى,2020,March,2020-March,03,31
66,الاقتصاد,2020,March,2020-March,03,303
67,الدولية,2020,March,2020-March,03,925
68,الرأي,2020,March,2020-March,03,75
69,المجتمع الدولي,2020,March,2020-March,03,1
70,المحليات,2020,March,2020-March,03,849
71,المنوعات,2020,March,2020-March,03,50
72,تقارير دولية,2020,March,2020-March,03,2
73,تقارير رسومية,2020,March,2020-March,03,3
74,ثقافة اليوم,2020,March,2020-March,03,26
75,خزامى الصحارى,2020,March,2020-March,03,1
76,دنيا الرياضة,2020,March,2020-March,03,358
77,سينما,2020,March,2020-March,03,1
78,صورة اليوم,2020,March,2020-March,03,2
79,طــب,2020,March,2020-March,03,1
80,فن,2020,March,2020-March,03,21
81,فيديو الرياض,2020,March,2020-March,03,1
82,قول على قول,2020,March,2020-March,03,1
83,كلمة الرياض,2020,March,2020-March,03,14
84,متابعات,2020,March,2020-March,03,109
85,محطات متحركة,2020,March,2020-March,03,1
86,مقالات اليوم,2020,March,2020-March,03,164
87,أخبار المناطق,2020,April,2020-April,04,153
88,أدب الجمعة,2020,April,2020-April,04,1
89,الأخبار المصورة,2020,April,2020-April,04,3
90,الأخــيــرة,2020,April,2020-April,04,134
91,الأولـــى,2020,April,2020-April,04,26
92,الاقتصاد,2020,April,2020-April,04,408
93,الدولية,2020,April,2020-April,04,1039
94,الرأي,2020,April,2020-April,04,110
95,الكاريكاتير,2020,April,2020-April,04,1
96,المحليات,2020,April,2020-April,04,946
97,المنوعات,2020,April,2020-April,04,37
98,تحقيقات وتقارير,2020,April,2020-April,04,1
99,تقارير رسومية,2020,April,2020-April,04,1
100,ثقافة اليوم,2020,April,2020-April,04,53
101,خزامى الصحارى,2020,April,2020-April,04,6
102,دنيا الرياضة,2020,April,2020-April,04,363
103,صورة اليوم,2020,April,2020-April,04,4
104,طــب,2020,April,2020-April,04,3
105,فن,2020,April,2020-April,04,4
106,كلمة الرياض,2020,April,2020-April,04,9
107,متابعات,2020,April,2020-April,04,136
108,محطات متحركة,2020,April,2020-April,04,2
109,مقالات اليوم,2020,April,2020-April,04,215
110,أخبار المناطق,2020,May,2020-May,05,70
111,الأخــيــرة,2020,May,2020-May,05,88
112,الأولـــى,2020,May,2020-May,05,18
113,الاقتصاد,2020,May,2020-May,05,364
114,الدولية,2020,May,2020-May,05,756
115,الرأي,2020,May,2020-May,05,83
116,المحليات,2020,May,2020-May,05,786
117,المنوعات,2020,May,2020-May,05,43
118,تقارير دولية,2020,May,2020-May,05,2
119,تقارير رسومية,2020,May,2020-May,05,2
120,ثقافة السبت,2020,May,2020-May,05,1
121,ثقافة اليوم,2020,May,2020-May,05,48
122,خزامى الصحارى,2020,May,2020-May,05,5
123,دنيا الرياضة,2020,May,2020-May,05,375
124,صورة اليوم,2020,May,2020-May,05,1
125,طــب,2020,May,2020-May,05,1
126,فن,2020,May,2020-May,05,9
127,قول على قول,2020,May,2020-May,05,1
128,كلمة الرياض,2020,May,2020-May,05,10
129,متابعات,2020,May,2020-May,05,111
130,مقالات اليوم,2020,May,2020-May,05,179
131,أخبار المناطق,2020,June,2020-June,06,150
132,اخر الثقافة,2020,June,2020-June,06,9
133,الأخبار المصورة,2020,June,2020-June,06,2
